Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,1, 65140, 1215936000.000000, 0.822412, 0.000015
1,1, 302267, 1132589824.000000, 0.882932, 0.000003
2,1, 83559, 1183569920.000000, 0.844901, 0.000012
3,1, 177861, 1560882944.000000, 0.640663, 0.000006
4,1, 257755, 3159400960.000000, 0.316516, 0.000004
5,1, 90472, 1152300032.000000, 0.867830, 0.000011
6,1, 1, 484453888.000000, 2.064180, 1.000000
7,1, 91307, 1507663104.000000, 0.663278, 0.000011
8,1, 1, 272994048.000000, 3.663084, 1.000000
9,1, 252315, 2896969984.000000, 0.345188, 0.000004
10,1, 28550, 953197824.000000, 1.049100, 0.000035
11,1, 333627, 3707319040.000000, 0.269737, 0.000003
12,1, 23223, 795851008.000000, 1.256517, 0.000043
13,1, 1, 354208000.000000, 2.823200, 1.000000
14,1, 228597, 2557662976.000000, 0.390982, 0.000004
15,1, 1, 677677056.000000, 1.475629, 1.000000
16,1, 4264, 799977984.000000, 1.250034, 0.000235
17,1, 212688, 2112065024.000000, 0.473470, 0.000005
18,1, 187881, 3017227008.000000, 0.331430, 0.000005
19,1, 2, 421506048.000000, 2.372445, 0.500000
20,1, 197113, 2492318208.000000, 0.401233, 0.000005
21,1, 1, 359233792.000000, 2.783702, 1.000000
22,1, 148583, 1121543936.000000, 0.891628, 0.000007
23,1, 1, 302049024.000000, 3.310721, 1.000000
24,1, 2, 272286976.000000, 3.672596, 0.500000
25,1, 332963, 1953634048.000000, 0.511867, 0.000003
26,1, 192750, 2525088000.000000, 0.396026, 0.000005
27,1, 289251, 3548355840.000000, 0.281821, 0.000003
28,1, 230743, 2240214784.000000, 0.446386, 0.000004
29,1, 230741, 2240131072.000000, 0.446402, 0.000004
30,1, 230745, 2229647104.000000, 0.448501, 0.000004
31,1, 233952, 2183715840.000000, 0.457935, 0.000004
32,1, 297060, 3594758144.000000, 0.278183, 0.000003
33,1, 230747, 2198851072.000000, 0.454783, 0.000004
34,1, 1, 772566016.000000, 1.294388, 1.000000
35,1, 1, 459354880.000000, 2.176966, 1.000000
36,1, 230749, 1702705920.000000, 0.587300, 0.000004
37,1, 1, 409682176.000000, 2.440917, 1.000000
38,1, 1, 219087872.000000, 4.564379, 1.000000
39,1, 1, 372214016.000000, 2.686626, 1.000000
40,1, 76504, 1319255040.000000, 0.758004, 0.000013
41,1, 161269, 1279081984.000000, 0.781811, 0.000006
42,1, 8, 784559872.000000, 1.274600, 0.125000
43,1, 6, 773875968.000000, 1.292197, 0.166667
44,1, 76228, 1083181824.000000, 0.923206, 0.000013
45,1, 2, 589378816.000000, 1.696702, 0.500000
46,1, 45033, 991161856.000000, 1.008917, 0.000022
47,1, 2, 358899968.000000, 2.786292, 0.500000
48,1, 4, 533131008.000000, 1.875712, 0.250000
49,1, 1, 100169984.000000, 9.983030, 1.000000
50,1, 48647, 299754752.000000, 3.336061, 0.000021
51,1, 1, 188186880.000000, 5.313867, 1.000000
52,1, 2, 594434816.000000, 1.682270, 0.500000
53,1, 353663, 3568462848.000000, 0.280233, 0.000003
54,1, 29041, 613824000.000000, 1.629131, 0.000034
55,1, 1, 230728960.000000, 4.334090, 1.000000
56,1, 497731, 4788475136.000000, 0.208835, 0.000002
57,1, 21059, 599746816.000000, 1.667370, 0.000047
58,1, 387831, 5628881920.000000, 0.177655, 0.000003
59,1, 21065, 567720960.000000, 1.761429, 0.000047
60,1, 158197, 3424613120.000000, 0.292004, 0.000006
61,1, 284575, 3105010176.000000, 0.322060, 0.000004
62,1, 284573, 3097991936.000000, 0.322790, 0.000004
63,1, 3, 1043173888.000000, 0.958613, 0.333333
64,1, 1, 354163200.000000, 2.823557, 1.000000
65,1, 1, 212126976.000000, 4.714158, 1.000000
66,1, 9, 490567168.000000, 2.038457, 0.111111
67,1, 57351, 1606691840.000000, 0.622397, 0.000017
68,1, 264807, 3245346048.000000, 0.308134, 0.000004
69,1, 87049, 1739268864.000000, 0.574954, 0.000011
70,1, 63106, 1660547072.000000, 0.602211, 0.000016
71,1, 1, 188622848.000000, 5.301585, 1.000000
72,1, 243477, 3015577088.000000, 0.331611, 0.000004
73,1, 1, 349849088.000000, 2.858375, 1.000000
74,1, 458817, 3984562944.000000, 0.250969, 0.000002
75,1, 1, 193092096.000000, 5.178876, 1.000000
76,1, 107899, 2375561984.000000, 0.420953, 0.000009
77,1, 1, 593233920.000000, 1.685676, 1.000000
78,1, 1, 466988032.000000, 2.141383, 1.000000
79,1, 1, 194928128.000000, 5.130096, 1.000000
80,1, 1, 220849152.000000, 4.527978, 1.000000
81,1, 198228, 2218940160.000000, 0.450666, 0.000005
82,1, 1, 105832960.000000, 9.448852, 1.000000
83,1, 380417, 3177487104.000000, 0.314714, 0.000003
84,1, 2, 115514880.000000, 8.656893, 0.500000
85,1, 307386, 2596933120.000000, 0.385070, 0.000003
86,1, 211519, 2258178816.000000, 0.442835, 0.000005
87,1, 1071588, 13249433088.000000, 0.075475, 0.000001
88,1, 8714, 458536192.000000, 2.180853, 0.000115
89,1, 601343, 8660873984.000000, 0.115462, 0.000002
90,1, 1, 350791168.000000, 2.850699, 1.000000
91,1, 2, 253659904.000000, 3.942286, 0.500000
92,1, 40005, 1525428992.000000, 0.655553, 0.000025
93,1, 2, 632451072.000000, 1.581150, 0.500000
94,1, 254274, 3968288768.000000, 0.251998, 0.000004
95,1, 567138, 3799883008.000000, 0.263166, 0.000002
96,1, 2, 137739008.000000, 7.260107, 0.500000
97,1, 62044, 1429958144.000000, 0.699321, 0.000016
98,1, 105645, 1426573056.000000, 0.700981, 0.000009
99,1, 30315, 1069477120.000000, 0.935036, 0.000033
100,1, 1, 124061184.000000, 8.060539, 1.000000
101,1, 1, 391920128.000000, 2.551540, 1.000000
102,1, 317792, 3506754816.000000, 0.285164, 0.000003
103,1, 391225, 5439503872.000000, 0.183840, 0.000003
104,1, 471443, 4759995136.000000, 0.210084, 0.000002
105,1, 24847, 1049291008.000000, 0.953024, 0.000040
106,1, 425897, 6571118080.000000, 0.152181, 0.000002
107,1, 425895, 6551907072.000000, 0.152627, 0.000002
108,1, 1, 255497984.000000, 3.913925, 1.000000
109,1, 229586, 2215435008.000000, 0.451379, 0.000004
110,1, 421363, 6439186176.000000, 0.155299, 0.000002
111,1, 1, 357914112.000000, 2.793966, 1.000000
112,1, 905501, 11731369984.000000, 0.085242, 0.000001
113,1, 24036, 678424064.000000, 1.474004, 0.000042
114,1, 448294, 5870312960.000000, 0.170349, 0.000002
115,1, 1, 684933120.000000, 1.459997, 1.000000
116,1, 69057, 2036532992.000000, 0.491031, 0.000014
117,1, 402051, 6195028992.000000, 0.161420, 0.000002
118,1, 512604, 7117419008.000000, 0.140500, 0.000002
119,1, 130014, 1582830080.000000, 0.631780, 0.000008
120,1, 157946, 2799364096.000000, 0.357224, 0.000006
121,1, 356609, 6062580224.000000, 0.164946, 0.000003
122,1, 905447, 11557426944.000000, 0.086524, 0.000001
123,1, 2, 301349888.000000, 3.318402, 0.500000
124,1, 305532, 4023544064.000000, 0.248537, 0.000003
125,1, 3, 183432960.000000, 5.451583, 0.333333
126,1, 173414, 2414769920.000000, 0.414118, 0.000006
127,1, 1, 174298880.000000, 5.737272, 1.000000
128,1, 79982, 1069550848.000000, 0.934972, 0.000013
129,1, 428975, 5864894976.000000, 0.170506, 0.000002
130,1, 79980, 996137984.000000, 1.003877, 0.000013
131,1, 73733, 1289867008.000000, 0.775274, 0.000014
132,1, 1, 353953024.000000, 2.825234, 1.000000
133,1, 4, 286414080.000000, 3.491448, 0.250000
134,1, 3, 286990080.000000, 3.484441, 0.333333
135,1, 1, 283107072.000000, 3.532232, 1.000000
136,1, 1, 105158144.000000, 9.509487, 1.000000
137,1, 283571, 3658967040.000000, 0.273301, 0.000004
138,1, 1, 153811968.000000, 6.501445, 1.000000
139,1, 122689, 2230513920.000000, 0.448327, 0.000008
140,1, 888525, 10897422848.000000, 0.091765, 0.000001
141,1, 97605, 1801170944.000000, 0.555194, 0.000010
142,1, 4419, 795918848.000000, 1.256409, 0.000226
143,1, 283014, 4130458112.000000, 0.242104, 0.000004
144,1, 363245, 3528409088.000000, 0.283414, 0.000003
145,1, 424476, 4883219200.000000, 0.204783, 0.000002
146,1, 363247, 3503390208.000000, 0.285438, 0.000003
147,1, 1, 327245056.000000, 3.055814, 1.000000
148,1, 1, 548310016.000000, 1.823786, 1.000000
149,1, 1, 503849216.000000, 1.984721, 1.000000
150,1, 498266, 6777992192.000000, 0.147536, 0.000002
151,1, 207749, 2936027904.000000, 0.340596, 0.000005
152,1, 4, 442214912.000000, 2.261344, 0.250000
153,1, 292209, 2605085184.000000, 0.383865, 0.000003
154,1, 2, 140647936.000000, 7.109951, 0.500000
155,1, 528998, 8099421184.000000, 0.123466, 0.000002
156,1, 330189, 3402894080.000000, 0.293868, 0.000003
157,1, 512484, 8032177920.000000, 0.124499, 0.000002
158,1, 1, 232324096.000000, 4.304332, 1.000000
159,1, 3, 163235072.000000, 6.126134, 0.333333
160,1, 1, 432576000.000000, 2.311733, 1.000000
161,1, 1, 159917056.000000, 6.253242, 1.000000
162,1, 788294, 9743168000.000000, 0.102636, 0.000001
163,1, 1, 190110976.000000, 5.260086, 1.000000
164,1, 1, 114009088.000000, 8.771231, 1.000000
165,1, 27775, 884846848.000000, 1.130139, 0.000036
166,1, 104483, 908007936.000000, 1.101312, 0.000010
167,1, 31078, 777735168.000000, 1.285785, 0.000032
168,1, 2, 266406912.000000, 3.753656, 0.500000
169,1, 2, 268775168.000000, 3.720582, 0.500000
170,1, 1, 164747008.000000, 6.069913, 1.000000
171,1, 38409, 1513280768.000000, 0.660816, 0.000026
172,1, 151682, 2444907008.000000, 0.409014, 0.000007
173,1, 185869, 3602106880.000000, 0.277615, 0.000005
174,1, 1, 532492032.000000, 1.877962, 1.000000
175,1, 1, 417481984.000000, 2.395313, 1.000000
176,1, 20712, 846500864.000000, 1.181334, 0.000048
177,1, 327961, 3439127040.000000, 0.290771, 0.000003
178,1, 2, 289900032.000000, 3.449465, 0.500000
179,1, 2, 121123840.000000, 8.256013, 0.500000
180,1, 1, 101460992.000000, 9.856005, 1.000000
181,1, 81351, 1125389824.000000, 0.888581, 0.000012
182,1, 10804, 417861888.000000, 2.393135, 0.000093
183,1, 1, 359721984.000000, 2.779925, 1.000000
184,1, 37820, 1304698112.000000, 0.766461, 0.000026
185,1, 2, 161867008.000000, 6.177911, 0.500000
186,1, 746544, 7432648960.000000, 0.134542, 0.000001
187,1, 292751, 2950299136.000000, 0.338949, 0.000003
188,1, 816216, 11669210112.000000, 0.085696, 0.000001
189,1, 2, 188928000.000000, 5.293022, 0.500000
190,1, 348912, 3005568000.000000, 0.332716, 0.000003
191,1, 293326, 2821707008.000000, 0.354395, 0.000003
192,1, 121281, 2045433856.000000, 0.488894, 0.000008
193,1, 184165, 2728129024.000000, 0.366552, 0.000005
194,1, 488107, 7112124928.000000, 0.140605, 0.000002
195,1, 52725, 491094016.000000, 2.036270, 0.000019
196,1, 185928, 3200817920.000000, 0.312420, 0.000005
197,1, 2, 336048128.000000, 2.975764, 0.500000
198,1, 1, 680734976.000000, 1.469000, 1.000000
199,1, 1, 679986944.000000, 1.470616, 1.000000
200,1, 2, 108237056.000000, 9.238980, 0.500000
201,1, 711751, 10527300864.000000, 0.094991, 0.000001
202,1, 1, 357056000.000000, 2.800681, 1.000000
203,1, 3, 501888000.000000, 1.992476, 0.333333
204,1, 1, 229730048.000000, 4.352935, 1.000000
205,1, 1, 449168896.000000, 2.226334, 1.000000
206,1, 1, 119889152.000000, 8.341038, 1.000000
207,1, 100741, 1885803008.000000, 0.530278, 0.000010
208,1, 1, 197774848.000000, 5.056255, 1.000000
209,1, 8175, 353785856.000000, 2.826569, 0.000122
210,1, 1, 143937024.000000, 6.947483, 1.000000
211,1, 575461, 5558240000.000000, 0.179913, 0.000002
212,1, 1, 237251840.000000, 4.214930, 1.000000
213,1, 3, 227053056.000000, 4.404257, 0.333333
214,1, 197691, 2995060224.000000, 0.333883, 0.000005
215,1, 1, 152235008.000000, 6.568791, 1.000000
216,1, 2, 244723968.000000, 4.086236, 0.500000
217,1, 553866, 8318492160.000000, 0.120214, 0.000002
218,1, 282280, 4864771072.000000, 0.205560, 0.000004
219,1, 553820, 8297660928.000000, 0.120516, 0.000002
220,1, 618871, 5644879104.000000, 0.177152, 0.000002
221,1, 197378, 2930434048.000000, 0.341246, 0.000005
222,1, 2, 164177152.000000, 6.090982, 0.500000
223,1, 347015, 5554009088.000000, 0.180050, 0.000003
224,1, 282278, 4822062080.000000, 0.207380, 0.000004
225,1, 392851, 4027046912.000000, 0.248321, 0.000003
226,1, 237442, 2293630976.000000, 0.435990, 0.000004
227,1, 1, 206002944.000000, 4.854300, 1.000000
228,1, 1141967, 15078908928.000000, 0.066318, 0.000001
229,1, 293363, 5315672064.000000, 0.188123, 0.000003
230,1, 142695, 2341074944.000000, 0.427154, 0.000007
231,1, 1, 150562048.000000, 6.641780, 1.000000
232,1, 54593, 1113708032.000000, 0.897901, 0.000018
233,1, 130005, 2208829184.000000, 0.452729, 0.000008
234,1, 262943, 5171961856.000000, 0.193350, 0.000004
235,1, 51083, 997967104.000000, 1.002037, 0.000020
236,1, 310530, 4876392960.000000, 0.205070, 0.000003
237,1, 37285, 1066950912.000000, 0.937250, 0.000027
238,1, 67721, 1386775040.000000, 0.721097, 0.000015
239,1, 26365, 503401984.000000, 1.986484, 0.000038
240,1, 393878, 5643492864.000000, 0.177195, 0.000003
241,1, 310528, 4631949056.000000, 0.215892, 0.000003
242,1, 375867, 5758895872.000000, 0.173644, 0.000003
243,1, 120214, 1719420928.000000, 0.581591, 0.000008
244,1, 2, 160254976.000000, 6.240056, 0.500000
245,1, 19508, 517817088.000000, 1.931184, 0.000051
246,1, 1, 146871808.000000, 6.808659, 1.000000
247,1, 575063, 4504713984.000000, 0.221990, 0.000002
248,1, 1, 192379136.000000, 5.198069, 1.000000
249,1, 468249, 7048059136.000000, 0.141883, 0.000002
250,1, 52718, 1154596096.000000, 0.866104, 0.000019
251,1, 196709, 3578926848.000000, 0.279413, 0.000005
252,1, 379466, 5346788096.000000, 0.187028, 0.000003
253,1, 406867, 4188633088.000000, 0.238741, 0.000002
254,1, 4, 309885952.000000, 3.226994, 0.250000
255,1, 563570, 8827758080.000000, 0.113279, 0.000002
256,1, 308923, 4532712960.000000, 0.220618, 0.000003
257,1, 2, 176875008.000000, 5.653710, 0.500000
258,1, 1, 276372224.000000, 3.618309, 1.000000
259,1, 100722, 1425768960.000000, 0.701376, 0.000010
260,1, 477544, 4135124992.000000, 0.241831, 0.000002
261,1, 300982, 4102462208.000000, 0.243756, 0.000003
262,1, 3, 250092032.000000, 3.998528, 0.333333
263,1, 300980, 4091652096.000000, 0.244400, 0.000003
264,1, 90181, 1391058944.000000, 0.718877, 0.000011
265,1, 300978, 4070593024.000000, 0.245664, 0.000003
266,1, 251524, 2498376192.000000, 0.400260, 0.000004
267,1, 23379, 813885952.000000, 1.228673, 0.000043
268,1, 1, 177908992.000000, 5.620851, 1.000000
269,1, 358331, 5181385984.000000, 0.192999, 0.000003
270,1, 21770, 760848128.000000, 1.314323, 0.000046
271,1, 2, 119851008.000000, 8.343693, 0.500000
272,1, 505775, 4362197760.000000, 0.229242, 0.000002
273,1, 211379, 4303544064.000000, 0.232367, 0.000005
274,1, 308925, 4345400832.000000, 0.230128, 0.000003
275,1, 283920, 4341661952.000000, 0.230327, 0.000004
276,1, 2, 294256896.000000, 3.398391, 0.500000
277,1, 4, 278981120.000000, 3.584472, 0.250000
278,1, 520306, 3949323008.000000, 0.253208, 0.000002
279,1, 105, 531120896.000000, 1.882811, 0.009524
280,1, 2, 192609024.000000, 5.191865, 0.500000
281,1, 2, 650021120.000000, 1.538412, 0.500000
282,1, 17348, 897505024.000000, 1.114200, 0.000058
283,1, 1, 550295040.000000, 1.817207, 1.000000
284,1, 53289, 980285184.000000, 1.020111, 0.000019
285,1, 1, 167873024.000000, 5.956883, 1.000000
286,1, 317471, 4629179136.000000, 0.216021, 0.000003
287,1, 6, 262554112.000000, 3.808739, 0.166667
288,1, 1, 288812032.000000, 3.462460, 1.000000
289,1, 1, 126588928.000000, 7.899585, 1.000000
290,1, 166823, 3741575936.000000, 0.267267, 0.000006
291,1, 4, 129413888.000000, 7.727146, 0.250000
292,1, 318199, 4353415936.000000, 0.229705, 0.000003
293,1, 2, 106989056.000000, 9.346750, 0.500000
294,1, 3, 210205952.000000, 4.757239, 0.333333
295,1, 1, 322125824.000000, 3.104377, 1.000000
296,1, 1, 207318016.000000, 4.823507, 1.000000
297,1, 460151, 3246846976.000000, 0.307991, 0.000002
298,1, 198213, 3083913216.000000, 0.324263, 0.000005
299,1, 160578, 3011416064.000000, 0.332070, 0.000006
300,1, 2, 128740096.000000, 7.767588, 0.500000
301,1, 228293, 3349673984.000000, 0.298537, 0.000004
302,1, 1, 130030080.000000, 7.690528, 1.000000
303,1, 2, 173643008.000000, 5.758942, 0.500000
304,1, 758781, 6977111040.000000, 0.143326, 0.000001
305,1, 212309, 3288017920.000000, 0.304135, 0.000005
306,1, 287305, 4341316864.000000, 0.230345, 0.000003
307,1, 290030, 2655639040.000000, 0.376557, 0.000003
308,1, 345837, 4264668928.000000, 0.234485, 0.000003
309,1, 431720, 6864690944.000000, 0.145673, 0.000002
310,1, 184499, 2724456960.000000, 0.367046, 0.000005
311,1, 1, 267287040.000000, 3.741296, 1.000000
312,1, 184497, 2712235008.000000, 0.368700, 0.000005
313,1, 1, 329575168.000000, 3.034209, 1.000000
314,1, 405263, 2818718208.000000, 0.354771, 0.000002
315,1, 345835, 4184640000.000000, 0.238969, 0.000003
316,1, 140617, 2624289024.000000, 0.381056, 0.000007
317,1, 86763, 1100728064.000000, 0.908490, 0.000012
318,1, 421272, 6784956928.000000, 0.147385, 0.000002
319,1, 1, 339044096.000000, 2.949469, 1.000000
320,1, 2, 100582912.000000, 9.942047, 0.500000
321,1, 1, 318639104.000000, 3.138347, 1.000000
322,1, 131611, 2415312896.000000, 0.414025, 0.000008
323,1, 131609, 2350884096.000000, 0.425372, 0.000008
324,1, 729997, 6337232896.000000, 0.157798, 0.000001
325,1, 175797, 2665252096.000000, 0.375199, 0.000006
326,1, 218121, 3722458880.000000, 0.268640, 0.000005
