Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,2, 2, 468950016.000000, 4.264847, 1.000000
1,2, 277433, 6030103040.000000, 0.331669, 0.000007
2,2, 277431, 6019333120.000000, 0.332263, 0.000007
3,3, 3, 1104839936.000000, 2.715325, 1.000000
4,6, 253577, 7798491136.000000, 0.769380, 0.000024
5,5, 253573, 7677501952.000000, 0.651253, 0.000020
6,6, 253575, 7786615808.000000, 0.770553, 0.000024
7,4, 246347, 6087844096.000000, 0.657047, 0.000016
8,2, 250818, 6082144000.000000, 0.328831, 0.000008
9,5, 334193, 8476740096.000000, 0.589849, 0.000015
The LA algorithm took 8833 milliseconds
