Server, Load Count
'(2,2)', 31
'(3,0)', 45
'(2,3)', 37
'(3,1)', 23
'(3,3)', 27
'(3,2)', 34
'(2,0)', 21
'(1,3)', 26
'(2,1)', 19
'(1,1)', 51
'(1,2)', 42
'(0,3)', 29
'(0,0)', 29
'(0,1)', 51
'(0,2)', 26
'(1,0)', 21
