Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,1, 661609, 1584232192.000000, 0.631221, 0.000002
1,1, 876957, 3135447808.000000, 0.318934, 0.000001
2,1, 403985, 1626348032.000000, 0.614875, 0.000002
3,1, 2825637, 6532442112.000000, 0.153082, 0.000000
4,1, 621662, 1575986176.000000, 0.634523, 0.000002
5,1, 404002, 1571805952.000000, 0.636211, 0.000002
6,1, 621660, 1568598016.000000, 0.637512, 0.000002
7,1, 876968, 3038270976.000000, 0.329135, 0.000001
8,1, 401755, 1550098944.000000, 0.645120, 0.000002
9,1, 1, 133517056.000000, 7.489680, 1.000000
The WQS algorithm took 6636 milliseconds
