Server, Load Count
'(2,2)', 127
'(3,0)', 66
'(2,3)', 77
'(3,1)', 89
'(3,3)', 49
'(3,2)', 91
'(2,0)', 68
'(1,3)', 64
'(2,1)', 133
'(1,1)', 138
'(1,2)', 121
'(0,3)', 44
'(0,0)', 41
'(0,1)', 100
'(0,2)', 79
'(1,0)', 69
