Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,4, 476187, 5829878784.000000, 0.686121, 0.000008
1,4, 132671, 4639502080.000000, 0.862161, 0.000030
2,3, 639984, 20517092096.000000, 0.146220, 0.000005
3,1, 160752, 3737822976.000000, 0.267535, 0.000006
4,2, 812324, 18480866048.000000, 0.108220, 0.000002
5,2, 157883, 3757181952.000000, 0.532314, 0.000013
6,4, 132673, 4598571008.000000, 0.869835, 0.000030
7,3, 199178, 7237558784.000000, 0.414504, 0.000015
8,3, 267401, 7352489984.000000, 0.408025, 0.000011
9,4, 132673, 4564422912.000000, 0.876343, 0.000030
10,2, 381974, 10948827136.000000, 0.182668, 0.000005
11,4, 269971, 7421427200.000000, 0.538980, 0.000015
12,3, 804261, 20167698176.000000, 0.148753, 0.000004
13,1, 166013, 3491931904.000000, 0.286374, 0.000006
14,3, 131791, 4143586048.000000, 0.724011, 0.000023
15,2, 368177, 10845308160.000000, 0.184412, 0.000005
16,3, 639307, 20295272192.000000, 0.147818, 0.000005
17,3, 542816, 13345857024.000000, 0.224789, 0.000006
18,2, 188067, 5564336896.000000, 0.359432, 0.000011
19,5, 233634, 7057604096.000000, 0.708456, 0.000021
20,2, 179093, 5455556864.000000, 0.366599, 0.000011
21,4, 279635, 7283916032.000000, 0.549155, 0.000014
22,4, 230505, 7349982976.000000, 0.544219, 0.000017
23,2, 117794, 3465478144.000000, 0.577121, 0.000017
24,1, 132508, 3857388032.000000, 0.259243, 0.000008
25,2, 499583, 12879909120.000000, 0.155281, 0.000004
26,2, 363566, 10668401152.000000, 0.187470, 0.000006
27,4, 535118, 14412551936.000000, 0.277536, 0.000007
28,1, 73638, 3201844992.000000, 0.312320, 0.000014
29,3, 237431, 6924452096.000000, 0.433247, 0.000013
30,1, 1, 737926144.000000, 1.355149, 1.000000
31,2, 190363, 5245799936.000000, 0.381257, 0.000011
32,1, 102390, 3150513152.000000, 0.317409, 0.000010
33,2, 208118, 5059980800.000000, 0.395258, 0.000010
34,2, 165518, 5021906176.000000, 0.398255, 0.000012
35,6, 198061, 6839303168.000000, 0.877282, 0.000030
36,1, 1, 347033856.000000, 2.881563, 1.000000
37,5, 1345366, 28927433984.000000, 0.172846, 0.000004
38,2, 94184, 3392364032.000000, 0.589559, 0.000021
39,4, 464048, 13957573888.000000, 0.286583, 0.000009
