Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,1, 212458, 1452702976.000000, 0.688372, 0.000005
1,1, 335186, 1395332096.000000, 0.716675, 0.000003
2,1, 6112945, 9846247168.000000, 0.101562, 0.000000
3,1, 545991, 3126585088.000000, 0.319838, 0.000002
4,1, 1, 148136192.000000, 6.750545, 1.000000
5,1, 545992, 3118622208.000000, 0.320654, 0.000002
6,1, 1, 153270016.000000, 6.524433, 1.000000
7,1, 2, 148199936.000000, 6.747641, 0.500000
8,1, 1245617, 4489317120.000000, 0.222751, 0.000001
9,1, 1130665, 4365288960.000000, 0.229080, 0.000001
The LAWQS algorithm took 9990 milliseconds
