Server, Load Count
'(2,2)', 148
'(3,0)', 53
'(2,3)', 101
'(3,1)', 83
'(3,3)', 54
'(3,2)', 98
'(2,0)', 68
'(1,3)', 69
'(2,1)', 124
'(1,1)', 116
'(1,2)', 131
'(0,3)', 37
'(0,0)', 35
'(0,1)', 96
'(0,2)', 76
'(1,0)', 65
