Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,2, 234236, 6514477056.000000, 0.307009, 0.000009
1,2, 234926, 5617323008.000000, 0.356041, 0.000009
2,3, 126523, 3980210176.000000, 0.753729, 0.000024
3,1, 1, 355428096.000000, 2.813509, 1.000000
4,2, 3, 351771136.000000, 5.685515, 0.666667
5,6, 1978650, 33571138816.000000, 0.178725, 0.000003
6,4, 1179445, 19128906240.000000, 0.209108, 0.000003
7,4, 1028753, 19152545024.000000, 0.208850, 0.000004
8,3, 135705, 5114271232.000000, 0.586594, 0.000022
9,2, 388177, 6441992960.000000, 0.310463, 0.000005
10,3, 140266, 5074793984.000000, 0.591157, 0.000021
11,2, 59990, 2612899840.000000, 0.765433, 0.000033
12,4, 703601, 17106176000.000000, 0.233834, 0.000006
13,3, 1437554, 28888769024.000000, 0.103847, 0.000002
14,4, 441680, 15299319040.000000, 0.261450, 0.000009
15,2, 905489, 19004741888.000000, 0.105237, 0.000002
16,5, 914994, 22574170112.000000, 0.221492, 0.000005
17,3, 570787, 17048463104.000000, 0.175969, 0.000005
18,3, 172886, 4980504064.000000, 0.602349, 0.000017
19,4, 237356, 8013682944.000000, 0.499146, 0.000017
20,5, 2075849, 38567774976.000000, 0.129642, 0.000002
21,1, 1, 472849152.000000, 2.114839, 1.000000
22,5, 891505, 22113075968.000000, 0.226111, 0.000006
23,3, 546512, 16576225024.000000, 0.180982, 0.000005
24,2, 215305, 6561466880.000000, 0.304810, 0.000009
25,3, 1341563, 22933728768.000000, 0.130812, 0.000002
26,1, 1, 140638976.000000, 7.110404, 1.000000
27,2, 684143, 20102593792.000000, 0.099490, 0.000003
28,2, 387952, 11059881984.000000, 0.180834, 0.000005
29,4, 277781, 8905884160.000000, 0.449141, 0.000014
30,6, 2410339, 45764797952.000000, 0.131105, 0.000002
31,4, 331431, 12779709952.000000, 0.312996, 0.000012
32,1, 103859, 2800185088.000000, 0.357119, 0.000010
33,4, 101312, 3430657024.000000, 1.165957, 0.000039
34,4, 1784989, 34531513088.000000, 0.115836, 0.000002
35,1, 128137, 2887763968.000000, 0.346289, 0.000008
36,3, 3, 626377984.000000, 4.789440, 1.000000
37,5, 1703589, 29884080128.000000, 0.167313, 0.000003
38,3, 1584499, 28012677120.000000, 0.107094, 0.000002
39,3, 168287, 4922692096.000000, 0.609423, 0.000018
40,4, 88566, 3432475136.000000, 1.165340, 0.000045
41,2, 2, 740881152.000000, 2.699488, 1.000000
42,5, 2019801, 37865033984.000000, 0.132048, 0.000002
43,5, 3229815, 43431097856.000000, 0.115125, 0.000002
44,4, 1262360, 26168706816.000000, 0.152854, 0.000003
45,6, 1692867, 26683393024.000000, 0.224859, 0.000004
46,3, 184354, 7023773184.000000, 0.427121, 0.000016
47,2, 4, 678587904.000000, 2.947297, 0.500000
48,3, 1663750, 25875593216.000000, 0.115939, 0.000002
49,1, 1, 295151104.000000, 3.388095, 1.000000
50,3, 526405, 14099975936.000000, 0.212766, 0.000006
51,3, 205857, 7363497984.000000, 0.407415, 0.000015
52,1, 382900, 8382311936.000000, 0.119299, 0.000003
53,3, 367978, 10528601856.000000, 0.284938, 0.000008
54,3, 205859, 7341470976.000000, 0.408637, 0.000015
55,1, 79174, 2608862976.000000, 0.383309, 0.000013
56,2, 113086, 3882020096.000000, 0.515196, 0.000018
57,3, 261842, 6843714048.000000, 0.438358, 0.000011
58,1, 1, 251603968.000000, 3.974500, 1.000000
59,1, 79172, 2608324096.000000, 0.383388, 0.000013
60,6, 2649212, 37354561024.000000, 0.160623, 0.000002
61,2, 145481, 5233277952.000000, 0.382170, 0.000014
62,3, 68922, 3880998912.000000, 0.772997, 0.000044
63,5, 540349, 12521713920.000000, 0.399306, 0.000009
64,2, 147256, 5223476992.000000, 0.382887, 0.000014
65,3, 378183, 8798643968.000000, 0.340962, 0.000008
66,1, 2, 227099904.000000, 4.403348, 0.500000
67,4, 601109, 12470232064.000000, 0.320764, 0.000007
68,2, 89257, 2872548096.000000, 0.696246, 0.000022
69,2, 156363, 5229745920.000000, 0.382428, 0.000013
70,2, 265113, 7320190976.000000, 0.273217, 0.000008
71,4, 2103791, 41548327936.000000, 0.096273, 0.000002
72,6, 735344, 15283140864.000000, 0.392589, 0.000008
73,4, 1877732, 37235183872.000000, 0.107425, 0.000002
74,2, 444492, 12487736064.000000, 0.160157, 0.000004
75,2, 444492, 12487533824.000000, 0.160160, 0.000004
76,2, 297518, 6666021888.000000, 0.300029, 0.000007
77,1, 93997, 2608240896.000000, 0.383400, 0.000011
78,2, 996186, 16273529088.000000, 0.122899, 0.000002
