Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,2, 2, 702209792.000000, 2.848152, 1.000000
1,2, 51351, 2569323008.000000, 0.778415, 0.000039
2,2, 2, 556407040.000000, 3.594491, 1.000000
3,3, 60072, 4187725056.000000, 0.716379, 0.000050
4,2, 277852, 7701434112.000000, 0.259692, 0.000007
5,1, 144834, 4481518848.000000, 0.223139, 0.000007
6,2, 256855, 6891347968.000000, 0.290219, 0.000008
7,2, 3, 436889088.000000, 4.577821, 0.666667
8,3, 372388, 12071908096.000000, 0.248511, 0.000008
9,1, 1, 370377984.000000, 2.699944, 1.000000
10,2, 2, 608683008.000000, 3.285783, 1.000000
11,2, 2, 371440128.000000, 5.384448, 1.000000
12,2, 3, 411846912.000000, 4.856173, 0.666667
13,2, 23346, 1921552896.000000, 1.040825, 0.000086
14,3, 177456, 7572172032.000000, 0.396188, 0.000017
15,4, 463877, 8901093120.000000, 0.449383, 0.000009
16,2, 2, 688819968.000000, 2.903516, 1.000000
17,5, 52657, 4148472832.000000, 1.205263, 0.000095
18,3, 5, 569956864.000000, 5.263556, 0.600000
19,4, 57345, 3955461120.000000, 1.011260, 0.000070
20,2, 2, 370701056.000000, 5.395183, 1.000000
21,4, 389431, 11765937920.000000, 0.339964, 0.000010
22,5, 811678, 24368913920.000000, 0.205179, 0.000006
23,3, 702688, 16462276864.000000, 0.182235, 0.000004
24,3, 550672, 11978146048.000000, 0.250456, 0.000005
25,2, 3, 282920192.000000, 7.069131, 0.666667
26,1, 505062, 9191799808.000000, 0.108793, 0.000002
27,2, 10677, 1538569984.000000, 1.299908, 0.000187
28,2, 505065, 9443827968.000000, 0.211779, 0.000004
29,4, 479619, 12724407040.000000, 0.314356, 0.000008
30,2, 106967, 3639512064.000000, 0.549524, 0.000019
31,1, 263845, 3372605952.000000, 0.296507, 0.000004
32,2, 848749, 26873730048.000000, 0.074422, 0.000002
33,4, 235328, 9081668096.000000, 0.440448, 0.000017
34,2, 254183, 3328897024.000000, 0.600800, 0.000008
35,1, 235035, 8489665024.000000, 0.117790, 0.000004
36,1, 195082, 2867969024.000000, 0.348679, 0.000005
37,2, 46635, 2843753984.000000, 0.703296, 0.000043
38,4, 385823, 9438401024.000000, 0.423801, 0.000010
39,3, 52312, 3317933056.000000, 0.904177, 0.000057
40,2, 181765, 6851759872.000000, 0.291896, 0.000011
41,2, 289214, 6056511232.000000, 0.330223, 0.000007
42,1, 299019, 7177001984.000000, 0.139334, 0.000003
43,3, 621291, 15746152960.000000, 0.190523, 0.000005
44,2, 22459, 2949832960.000000, 0.678004, 0.000089
45,5, 2082254, 37512102912.000000, 0.133290, 0.000002
46,3, 22458, 3194476800.000000, 0.939121, 0.000134
47,2, 217841, 8357246976.000000, 0.239313, 0.000009
48,5, 820066, 26464580864.000000, 0.188932, 0.000006
49,2, 119199, 5995340032.000000, 0.333592, 0.000017
50,1, 271723, 7434786048.000000, 0.134503, 0.000004
51,2, 263901, 8495510016.000000, 0.235418, 0.000008
52,3, 22457, 3190925056.000000, 0.940166, 0.000134
53,3, 22456, 3190336000.000000, 0.940340, 0.000134
54,3, 1334662, 34989416192.000000, 0.085740, 0.000002
55,1, 52314, 2723198976.000000, 0.367215, 0.000019
56,3, 29497, 2710188032.000000, 1.106934, 0.000102
57,4, 513214, 11075272960.000000, 0.361165, 0.000008
58,2, 385821, 8550507008.000000, 0.233904, 0.000005
59,4, 771231, 22675568896.000000, 0.176401, 0.000005
60,4, 342537, 12816849920.000000, 0.312089, 0.000012
61,4, 342537, 12816518144.000000, 0.312097, 0.000012
62,2, 253762, 8358401024.000000, 0.239280, 0.000008
63,1, 63446, 2894125824.000000, 0.345527, 0.000016
64,1, 38279, 2473296896.000000, 0.404319, 0.000026
65,3, 748955, 26259844864.000000, 0.114243, 0.000004
66,1, 235605, 2891716864.000000, 0.345815, 0.000004
67,3, 256297, 8354164992.000000, 0.359102, 0.000012
68,5, 879961, 27873214976.000000, 0.179384, 0.000006
69,3, 434643, 15994328064.000000, 0.187566, 0.000007
70,3, 1334663, 34973072896.000000, 0.085780, 0.000002
71,3, 424932, 9404968192.000000, 0.318980, 0.000007
72,2, 292926, 9333638912.000000, 0.214279, 0.000007
73,1, 77665, 2739655168.000000, 0.365009, 0.000013
74,4, 506725, 13248620032.000000, 0.301918, 0.000008
75,4, 1202408, 29943940096.000000, 0.133583, 0.000003
76,3, 407223, 11029272064.000000, 0.272003, 0.000007
77,3, 256299, 8303932928.000000, 0.361275, 0.000012
78,5, 2965605, 49370563072.000000, 0.101275, 0.000002
79,2, 328397, 9248369920.000000, 0.216254, 0.000006
80,3, 417832, 9171383040.000000, 0.327104, 0.000007
81,3, 629177, 20161329920.000000, 0.148800, 0.000005
82,4, 366830, 8044954112.000000, 0.497206, 0.000011
83,2, 54069, 2614729984.000000, 0.764897, 0.000037
84,2, 32973, 2480104960.000000, 0.806417, 0.000061
85,3, 1041356, 32254898944.000000, 0.093009, 0.000003
86,1, 22253, 1408016896.000000, 0.710219, 0.000045
87,2, 228721, 5048107008.000000, 0.396188, 0.000009
88,2, 134076, 2465977088.000000, 0.811038, 0.000015
89,2, 134076, 2459902976.000000, 0.813040, 0.000015
90,3, 423831, 14358236928.000000, 0.208939, 0.000007
91,1, 65946, 1789396992.000000, 0.558847, 0.000015
92,2, 499866, 17067053056.000000, 0.117185, 0.000004
93,3, 503801, 10064182016.000000, 0.298087, 0.000006
94,4, 280230, 9996013056.000000, 0.400160, 0.000014
95,2, 541449, 14621609984.000000, 0.136784, 0.000004
96,2, 101806, 4973007872.000000, 0.402171, 0.000020
97,2, 292299, 7331510016.000000, 0.272795, 0.000007
98,4, 685126, 26852740864.000000, 0.148961, 0.000006
99,3, 397827, 11058745088.000000, 0.271279, 0.000008
100,1, 19069, 1849524992.000000, 0.540679, 0.000052
101,3, 369942, 14005417984.000000, 0.214203, 0.000008
102,6, 2678176, 45830064128.000000, 0.130918, 0.000002
103,5, 554387, 21023142144.000000, 0.237833, 0.000009
104,4, 294785, 11144039936.000000, 0.358936, 0.000014
105,1, 2, 1096278016.000000, 0.912177, 0.500000
106,3, 224796, 7821332992.000000, 0.383566, 0.000013
107,1, 18705, 1053049856.000000, 0.949623, 0.000053
108,2, 223335, 6643742976.000000, 0.301035, 0.000009
109,2, 296964, 8707744000.000000, 0.229681, 0.000007
110,4, 356704, 15528855040.000000, 0.257585, 0.000011
111,1, 227620, 5674550016.000000, 0.176225, 0.000004
112,4, 669207, 18684226816.000000, 0.214084, 0.000006
113,4, 294786, 11039858944.000000, 0.362323, 0.000014
114,4, 782972, 24571945216.000000, 0.162787, 0.000005
115,5, 885365, 26099314176.000000, 0.191576, 0.000006
116,1, 4, 945942016.000000, 1.057147, 0.250000
117,4, 360062, 15477736192.000000, 0.258436, 0.000011
118,1, 1, 1246432000.000000, 0.802290, 1.000000
119,3, 168150, 8222196992.000000, 0.364866, 0.000018
120,2, 330948, 10981406976.000000, 0.182126, 0.000006
121,3, 183920, 7219329024.000000, 0.415551, 0.000016
122,2, 517227, 13134368000.000000, 0.152272, 0.000004
123,2, 270653, 8702509056.000000, 0.229819, 0.000007
124,6, 767356, 25365595904.000000, 0.236541, 0.000008
125,3, 178630, 5725209088.000000, 0.523998, 0.000017
126,5, 509086, 17603724800.000000, 0.284031, 0.000010
127,4, 330039, 12116889856.000000, 0.330118, 0.000012
128,4, 141208, 5599431936.000000, 0.714358, 0.000028
129,3, 700876, 23303557120.000000, 0.128736, 0.000004
130,2, 509339, 14860236032.000000, 0.134587, 0.000004
131,1, 1, 269844992.000000, 3.705831, 1.000000
132,4, 515985, 12479549952.000000, 0.320524, 0.000008
133,3, 644296, 19472189952.000000, 0.154066, 0.000005
134,4, 6592818, 56817875968.000000, 0.070400, 0.000001
135,3, 3, 796386048.000000, 3.767017, 1.000000
136,3, 525426, 19032538112.000000, 0.157625, 0.000006
137,3, 331916, 6646713088.000000, 0.451351, 0.000009
138,3, 345839, 12239760896.000000, 0.245103, 0.000009
139,4, 4846124, 45232140032.000000, 0.088433, 0.000001
140,2, 257885, 9594891008.000000, 0.208444, 0.000008
141,2, 948847, 18684064000.000000, 0.107043, 0.000002
142,1, 1, 591126016.000000, 1.691687, 1.000000
143,3, 337904, 12007377152.000000, 0.249846, 0.000009
144,5, 6787131, 56174189056.000000, 0.089009, 0.000001
145,2, 721883, 22294159872.000000, 0.089710, 0.000003
146,2, 880277, 28199158016.000000, 0.070924, 0.000002
147,4, 400701, 16421408000.000000, 0.243584, 0.000010
148,1, 164434, 3039689984.000000, 0.328981, 0.000006
149,3, 782743, 23575825152.000000, 0.127249, 0.000004
150,3, 145575, 6809885952.000000, 0.440536, 0.000021
151,3, 205255, 9213910016.000000, 0.325595, 0.000015
152,4, 2686364, 39005554176.000000, 0.102549, 0.000001
153,2, 49791, 3478083072.000000, 0.575029, 0.000040
154,4, 1319175, 29657170944.000000, 0.134875, 0.000003
155,3, 722544, 21984493056.000000, 0.136460, 0.000004
156,2, 68374, 5080747776.000000, 0.393643, 0.000029
157,3, 5083124, 50592015872.000000, 0.059298, 0.000001
158,2, 725376, 16251992832.000000, 0.123062, 0.000003
159,2, 230059, 4466116864.000000, 0.447816, 0.000009
160,3, 57799, 4138970880.000000, 0.724818, 0.000052
161,5, 5619470, 54145998080.000000, 0.092343, 0.000001
162,2, 2409, 3020643072.000000, 0.662111, 0.000830
163,2, 801314, 25445924096.000000, 0.078598, 0.000002
