Server, Load Count
'(2,2)', 100
'(3,0)', 37
'(2,3)', 87
'(3,1)', 74
'(3,3)', 46
'(3,2)', 79
'(2,0)', 63
'(1,3)', 71
'(2,1)', 110
'(1,1)', 117
'(1,2)', 98
'(0,3)', 57
'(0,0)', 64
'(0,1)', 101
'(0,2)', 72
'(1,0)', 87
