Server, Load Count
'(2,2)', 38
'(3,0)', 44
'(2,3)', 40
'(3,1)', 17
'(3,3)', 26
'(3,2)', 16
'(2,0)', 20
'(1,3)', 36
'(2,1)', 27
'(1,1)', 47
'(1,2)', 41
'(0,3)', 26
'(0,0)', 49
'(0,1)', 42
'(0,2)', 24
'(1,0)', 19
