Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,1, 1, 163928832.000000, 6.100208, 1.000000
1,1, 1355559, 3514373888.000000, 0.284546, 0.000001
2,1, 1, 187362048.000000, 5.337260, 1.000000
3,1, 1355560, 3513819904.000000, 0.284591, 0.000001
4,1, 1, 148424960.000000, 6.737411, 1.000000
5,1, 1, 180699136.000000, 5.534061, 1.000000
6,1, 1347586, 3569114112.000000, 0.280182, 0.000001
7,1, 2, 140913920.000000, 7.096531, 0.500000
8,1, 1327894, 3538054144.000000, 0.282641, 0.000001
9,1, 1, 122338816.000000, 8.174021, 1.000000
The LA algorithm took 3682 milliseconds
