Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,3, 297716, 5874679040.000000, 0.510666, 0.000010
1,2, 227656, 3843208960.000000, 0.520398, 0.000009
2,2, 2, 579036160.000000, 3.454016, 1.000000
3,6, 831473, 11137917952.000000, 0.538700, 0.000007
4,1, 1, 473750016.000000, 2.110818, 1.000000
5,5, 457339, 7545679872.000000, 0.662631, 0.000011
6,2, 625004, 5766332928.000000, 0.346841, 0.000003
7,4, 298808, 5845510912.000000, 0.684286, 0.000013
8,2, 201111, 3722267904.000000, 0.537307, 0.000010
9,6, 1604989, 15417912064.000000, 0.389158, 0.000004
The DUMMY algorithm took 15652 milliseconds
