Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,4, 813162, 12212802048.000000, 0.327525, 0.000005
1,2, 522097, 6717672960.000000, 0.297722, 0.000004
2,1, 212835, 3018887936.000000, 0.331248, 0.000005
3,2, 169572, 3008674816.000000, 0.664744, 0.000012
4,1, 267620, 3479749888.000000, 0.287377, 0.000004
5,2, 522097, 6707443968.000000, 0.298176, 0.000004
6,3, 627249, 8600537088.000000, 0.348815, 0.000005
7,5, 860353, 13521474048.000000, 0.369782, 0.000006
8,2, 535966, 6509656064.000000, 0.307236, 0.000004
9,2, 1483149, 18493746944.000000, 0.108145, 0.000001
10,2, 314989, 3446895104.000000, 0.580232, 0.000006
11,1, 232570, 2795554048.000000, 0.357711, 0.000004
12,4, 1490674, 18482639104.000000, 0.216419, 0.000003
13,5, 2548418, 38544011008.000000, 0.129722, 0.000002
14,1, 622861, 7785028096.000000, 0.128452, 0.000002
15,5, 761609, 13065319936.000000, 0.382693, 0.000007
16,2, 419441, 4732261120.000000, 0.422631, 0.000005
17,3, 1288410, 18267207936.000000, 0.164229, 0.000002
18,3, 4577586, 52851749888.000000, 0.056763, 0.000001
19,5, 1044725, 16029860096.000000, 0.311918, 0.000005
20,1, 315796, 4369814016.000000, 0.228843, 0.000003
21,2, 815824, 9678213120.000000, 0.206650, 0.000002
22,6, 4458908, 49218686208.000000, 0.121905, 0.000001
23,2, 418722, 6370559232.000000, 0.313944, 0.000005
24,2, 102848, 2185356032.000000, 0.915183, 0.000019
25,1, 107838, 2263156992.000000, 0.441861, 0.000009
26,4, 2734904, 41815512832.000000, 0.095658, 0.000001
27,3, 275100, 4329603072.000000, 0.692904, 0.000011
28,1, 566109, 7636292096.000000, 0.130954, 0.000002
29,1, 392881, 5759024128.000000, 0.173641, 0.000003
30,3, 2245541, 33486287872.000000, 0.089589, 0.000001
31,2, 94982, 1984073984.000000, 1.008027, 0.000021
32,3, 1288406, 17783616000.000000, 0.168695, 0.000002
33,3, 1266775, 19534030848.000000, 0.153578, 0.000002
34,4, 2195718, 30052844800.000000, 0.133099, 0.000002
35,3, 1092790, 17564160000.000000, 0.170802, 0.000003
36,4, 770812, 12227211008.000000, 0.327139, 0.000005
37,1, 275253, 3559411200.000000, 0.280945, 0.000004
38,3, 1521695, 21293948160.000000, 0.140885, 0.000002
39,2, 234411, 3394755840.000000, 0.589144, 0.000009
40,5, 2864282, 35906420992.000000, 0.139251, 0.000002
41,1, 94982, 1222976000.000000, 0.817678, 0.000011
42,6, 6653789, 57380973056.000000, 0.104564, 0.000001
43,1, 506694, 4909725952.000000, 0.203677, 0.000002
44,3, 923410, 10702718976.000000, 0.280303, 0.000003
45,1, 102993, 1300399872.000000, 0.768994, 0.000010
46,3, 1269009, 16977897984.000000, 0.176700, 0.000002
47,3, 1257478, 16970929152.000000, 0.176773, 0.000002
48,4, 3790476, 45381059072.000000, 0.088143, 0.000001
49,3, 1480053, 20933583104.000000, 0.143310, 0.000002
50,3, 2397969, 31546512128.000000, 0.095098, 0.000001
51,6, 2911209, 44463466752.000000, 0.134942, 0.000002
52,3, 358048, 6092062976.000000, 0.492444, 0.000008
53,3, 763959, 11406758144.000000, 0.263002, 0.000004
54,4, 899563, 11704425984.000000, 0.341751, 0.000004
55,1, 430115, 4539251968.000000, 0.220301, 0.000002
56,1, 277117, 4439607808.000000, 0.225245, 0.000004
57,2, 2, 892201984.000000, 2.241645, 1.000000
58,3, 2208822, 32321268992.000000, 0.092818, 0.000001
59,4, 1566644, 28700350976.000000, 0.139371, 0.000003
60,2, 1585027, 22461581056.000000, 0.089041, 0.000001
61,1, 800072, 8098985984.000000, 0.123472, 0.000001
62,2, 225229, 2862744064.000000, 0.698630, 0.000009
63,4, 1566640, 28699512832.000000, 0.139375, 0.000003
64,4, 1089032, 14738290944.000000, 0.271402, 0.000004
65,2, 1499665, 20759751936.000000, 0.096340, 0.000001
66,1, 263605, 4311880960.000000, 0.231917, 0.000004
67,1, 430113, 4536762112.000000, 0.220422, 0.000002
68,4, 936250, 11413739008.000000, 0.350455, 0.000004
69,3, 1920026, 28697645056.000000, 0.104538, 0.000002
70,1, 1, 115465984.000000, 8.660559, 1.000000
71,4, 3453875, 41118272000.000000, 0.097280, 0.000001
72,4, 3688387, 47452500992.000000, 0.084295, 0.000001
73,1, 1, 114352128.000000, 8.744918, 1.000000
74,2, 228134, 3212333056.000000, 0.622600, 0.000009
75,3, 2164329, 32317255936.000000, 0.092830, 0.000001
76,5, 4781820, 51074770944.000000, 0.097896, 0.000001
77,3, 1510434, 23343154944.000000, 0.128517, 0.000002
78,2, 420302, 4248067072.000000, 0.470802, 0.000005
79,2, 709425, 7960677888.000000, 0.251235, 0.000003
80,2, 1311120, 18322423808.000000, 0.109156, 0.000002
81,3, 900764, 11082628864.000000, 0.270694, 0.000003
82,5, 5949101, 52962708992.000000, 0.094406, 0.000001
83,2, 222957, 3729590016.000000, 0.536252, 0.000009
84,3, 238989, 3566193920.000000, 0.841233, 0.000013
85,4, 639438, 10534196992.000000, 0.379716, 0.000006
86,6, 5044838, 39177192960.000000, 0.153150, 0.000001
