Server, Load Count
'(2,2)', 37
'(3,0)', 42
'(2,3)', 36
'(3,1)', 22
'(3,3)', 36
'(3,2)', 22
'(2,0)', 30
'(1,3)', 26
'(2,1)', 23
'(1,1)', 37
'(1,2)', 59
'(0,3)', 23
'(0,0)', 47
'(0,1)', 36
'(0,2)', 18
'(1,0)', 18
