Server, Load Count
'(2,2)', 133
'(3,0)', 59
'(2,3)', 85
'(3,1)', 88
'(3,3)', 53
'(3,2)', 102
'(2,0)', 50
'(1,3)', 54
'(2,1)', 107
'(1,1)', 108
'(1,2)', 126
'(0,3)', 35
'(0,0)', 31
'(0,1)', 97
'(0,2)', 76
'(1,0)', 67
