Vehicle, Moves, Counter, Time, Velocity, CVelocity
0,4, 665278, 20029937920.000000, 0.199701, 0.000006
1,1, 46700, 1497472000.000000, 0.667792, 0.000021
2,3, 192938, 4793030144.000000, 0.625909, 0.000016
3,5, 889929, 16344646912.000000, 0.305911, 0.000006
4,3, 289771, 8459116032.000000, 0.354647, 0.000010
5,2, 121958, 3138416896.000000, 0.637264, 0.000016
6,2, 521456, 14915556864.000000, 0.134088, 0.000004
7,1, 337314, 6974798080.000000, 0.143373, 0.000003
8,2, 155474, 4901170944.000000, 0.408066, 0.000013
9,2, 40377, 2901904896.000000, 0.689202, 0.000050
10,1, 27438, 940975104.000000, 1.062727, 0.000036
11,3, 146063, 5050654976.000000, 0.593982, 0.000021
12,3, 140194, 4803601152.000000, 0.624531, 0.000021
13,3, 172124, 4821512960.000000, 0.622211, 0.000017
14,3, 226640, 6620609024.000000, 0.453131, 0.000013
15,1, 226629, 6086892800.000000, 0.164287, 0.000004
16,3, 498201, 11757334016.000000, 0.255160, 0.000006
17,2, 137500, 4541190144.000000, 0.440413, 0.000015
18,3, 76840, 2682898176.000000, 1.118194, 0.000039
19,1, 29893, 649958144.000000, 1.538561, 0.000033
20,2, 55033, 2548275968.000000, 0.784844, 0.000036
21,6, 170309, 6042169856.000000, 0.993021, 0.000035
22,3, 391030, 10003593984.000000, 0.299892, 0.000008
23,4, 858575, 20959363072.000000, 0.190845, 0.000005
24,1, 484208, 14325341952.000000, 0.069806, 0.000002
25,3, 638045, 19166384896.000000, 0.156524, 0.000005
26,3, 479099, 14322907904.000000, 0.209455, 0.000006
27,2, 183225, 4519561984.000000, 0.442521, 0.000011
28,1, 6259, 429922048.000000, 2.326003, 0.000160
29,1, 281225, 7764558848.000000, 0.128790, 0.000004
30,2, 472320, 11264887040.000000, 0.177543, 0.000004
31,3, 222131, 6486627072.000000, 0.462490, 0.000014
32,4, 467797, 14396487936.000000, 0.277846, 0.000009
33,2, 222122, 6157624064.000000, 0.324801, 0.000009
34,2, 577335, 15357600000.000000, 0.130229, 0.000003
35,4, 243082, 7490534144.000000, 0.534007, 0.000016
36,4, 12902, 2111267072.000000, 1.894597, 0.000310
37,3, 227322, 5580862976.000000, 0.537551, 0.000013
38,2, 119588, 4079900160.000000, 0.490208, 0.000017
39,1, 2, 129907968.000000, 7.697757, 0.500000
40,4, 192126, 6065142016.000000, 0.659506, 0.000021
41,2, 222129, 6182618880.000000, 0.323488, 0.000009
42,3, 153452, 3571345152.000000, 0.840020, 0.000020
43,6, 273932, 7421676032.000000, 0.808443, 0.000022
44,4, 457165, 13829751808.000000, 0.289232, 0.000009
45,2, 112609, 3982142976.000000, 0.502242, 0.000018
46,3, 225825, 5527292928.000000, 0.542761, 0.000013
47,2, 176168, 4025344000.000000, 0.496852, 0.000011
48,3, 206773, 5931724032.000000, 0.505755, 0.000015
49,2, 544580, 13355516928.000000, 0.149751, 0.000004
50,2, 3, 476585984.000000, 4.196515, 0.666667
51,1, 277500, 6993711104.000000, 0.142986, 0.000004
52,2, 107258, 3952230912.000000, 0.506043, 0.000019
53,3, 536361, 14693484032.000000, 0.204172, 0.000006
54,3, 264733, 7162772224.000000, 0.418832, 0.000011
55,5, 455062, 13334170112.000000, 0.374976, 0.000011
56,3, 167303, 3514447872.000000, 0.853619, 0.000018
57,3, 441030, 13312000000.000000, 0.225361, 0.000007
58,1, 465779, 8707160064.000000, 0.114848, 0.000002
59,5, 139186, 5506322944.000000, 0.908047, 0.000036
60,4, 239036, 6876926976.000000, 0.581655, 0.000017
61,2, 318356, 7192888064.000000, 0.278052, 0.000006
62,3, 799117, 14582796800.000000, 0.205722, 0.000004
63,1, 174937, 5204348160.000000, 0.192147, 0.000006
64,3, 289452, 6851876096.000000, 0.437836, 0.000010
65,2, 530997, 12940061184.000000, 0.154559, 0.000004
66,2, 1055074, 23391220992.000000, 0.085502, 0.000002
67,2, 523302, 12927964928.000000, 0.154703, 0.000004
68,2, 182775, 5378462976.000000, 0.371853, 0.000011
69,4, 237799, 6575809024.000000, 0.608290, 0.000017
70,3, 447125, 8309437952.000000, 0.361035, 0.000007
71,3, 473402, 14429014016.000000, 0.207914, 0.000006
72,2, 429962, 14948125952.000000, 0.133796, 0.000005
73,2, 209262, 6476608000.000000, 0.308804, 0.000010
74,2, 75749, 3264528896.000000, 0.612646, 0.000026
75,1, 67369, 3138498048.000000, 0.318624, 0.000015
76,3, 133352, 5481903872.000000, 0.547255, 0.000022
77,6, 935135, 18455976960.000000, 0.325098, 0.000006
78,3, 505180, 14389591040.000000, 0.208484, 0.000006
79,3, 462167, 12621606144.000000, 0.237688, 0.000006
80,2, 62718, 3030446848.000000, 0.659969, 0.000032
81,3, 387047, 12648962048.000000, 0.237174, 0.000008
82,4, 271311, 7342962944.000000, 0.544739, 0.000015
83,3, 525033, 12601604864.000000, 0.238065, 0.000006
84,3, 986763, 22137812992.000000, 0.135515, 0.000003
85,3, 427548, 12004361984.000000, 0.249909, 0.000007
86,2, 339217, 11672348928.000000, 0.171345, 0.000006
87,2, 415963, 11982513152.000000, 0.166910, 0.000005
88,3, 178797, 5549079040.000000, 0.540630, 0.000017
89,4, 981447, 21700360960.000000, 0.184329, 0.000004
90,6, 325052, 8452391936.000000, 0.709858, 0.000018
91,2, 294454, 9139287808.000000, 0.218835, 0.000007
92,2, 2, 389890048.000000, 5.129651, 1.000000
93,1, 438673, 11583164160.000000, 0.086332, 0.000002
94,3, 310199, 6940233984.000000, 0.432262, 0.000010
95,3, 396422, 9892745984.000000, 0.303253, 0.000008
96,1, 1702134, 27372911872.000000, 0.036532, 0.000001
97,3, 374658, 11519252992.000000, 0.260434, 0.000008
98,4, 377741, 11517623808.000000, 0.347294, 0.000011
99,3, 468091, 12961090816.000000, 0.231462, 0.000006
100,1, 374151, 8591233024.000000, 0.116398, 0.000003
101,3, 497074, 12959698944.000000, 0.231487, 0.000006
102,5, 396426, 10413111040.000000, 0.480164, 0.000013
103,2, 439523, 6833637888.000000, 0.292670, 0.000005
104,2, 462166, 11187849984.000000, 0.178765, 0.000004
105,4, 646367, 16407060992.000000, 0.243797, 0.000006
106,1, 158865, 3197127936.000000, 0.312781, 0.000006
107,1, 62126, 1688810240.000000, 0.592133, 0.000016
108,1, 236979, 6915033088.000000, 0.144612, 0.000004
109,5, 437506, 9914863104.000000, 0.504293, 0.000011
110,2, 197686, 5103892992.000000, 0.391858, 0.000010
111,3, 710534, 17977698816.000000, 0.166873, 0.000004
112,3, 548612, 16289360896.000000, 0.184169, 0.000005
113,2, 24539, 1636968960.000000, 1.221770, 0.000082
114,2, 206633, 5107171840.000000, 0.391606, 0.000010
115,1, 28704, 1197398016.000000, 0.835144, 0.000035
116,3, 24708, 1393519104.000000, 2.152823, 0.000121
117,3, 149581, 4579409920.000000, 0.655106, 0.000020
118,3, 664640, 17246919936.000000, 0.173944, 0.000005
119,2, 420050, 12202900992.000000, 0.163895, 0.000005
120,3, 692293, 12052636928.000000, 0.248908, 0.000004
121,4, 970331, 20885395968.000000, 0.191521, 0.000004
122,4, 593549, 15595248128.000000, 0.256488, 0.000007
123,1, 313261, 10431000832.000000, 0.095868, 0.000003
124,3, 351353, 9102798848.000000, 0.329569, 0.000009
125,2, 1395495, 29607423232.000000, 0.067551, 0.000001
126,2, 7219, 929434880.000000, 2.151845, 0.000277
127,4, 310731, 7631562240.000000, 0.524139, 0.000013
128,3, 2082319, 31827791872.000000, 0.094257, 0.000001
129,4, 616639, 11305956864.000000, 0.353796, 0.000006
130,3, 89265, 3236811008.000000, 0.926838, 0.000034
131,4, 101903, 2662572032.000000, 1.502307, 0.000039
132,2, 6, 324541952.000000, 6.162531, 0.333333
133,2, 410902, 11978247936.000000, 0.166969, 0.000005
134,2, 223560, 5903571968.000000, 0.338778, 0.000009
135,2, 1035606, 23946972928.000000, 0.083518, 0.000002
136,3, 458035, 10943358976.000000, 0.274139, 0.000007
137,1, 101901, 2171621120.000000, 0.460485, 0.000010
138,4, 951707, 17137257984.000000, 0.233410, 0.000004
139,2, 907555, 20338508032.000000, 0.098336, 0.000002
140,1, 1, 529880832.000000, 1.887217, 1.000000
141,3, 314136, 10206254848.000000, 0.293937, 0.000010
142,1, 372410, 10244968960.000000, 0.097609, 0.000003
143,3, 1772582, 30798035968.000000, 0.097409, 0.000002
144,1, 41723, 1917777920.000000, 0.521437, 0.000024
145,3, 171845, 5612845056.000000, 0.534488, 0.000017
146,1, 3, 633737984.000000, 1.577939, 0.333333
147,2, 763397, 16008006912.000000, 0.124937, 0.000003
148,3, 1487371, 30640676864.000000, 0.097909, 0.000002
149,2, 2, 609169920.000000, 3.283156, 1.000000
150,3, 1006698, 20328848896.000000, 0.147574, 0.000003
151,3, 411743, 11619645952.000000, 0.258183, 0.000007
152,4, 328105, 9849304064.000000, 0.406120, 0.000012
153,4, 913818, 20300632832.000000, 0.197038, 0.000004
154,5, 253526, 7071988992.000000, 0.707015, 0.000020
155,2, 343882, 10638032128.000000, 0.188005, 0.000006
156,3, 400460, 11609224960.000000, 0.258415, 0.000007
157,3, 56798, 2696038912.000000, 1.112744, 0.000053
158,3, 317800, 10161618944.000000, 0.295229, 0.000009
159,1, 83445, 2228723968.000000, 0.448687, 0.000012
160,2, 137155, 4060806912.000000, 0.492513, 0.000015
161,2, 72585, 1913171968.000000, 1.045384, 0.000028
162,2, 1395456, 23989665792.000000, 0.083369, 0.000001
163,2, 408827, 11597545984.000000, 0.172450, 0.000005
164,1, 3, 472776960.000000, 2.115162, 0.333333
165,4, 913819, 20279725056.000000, 0.197241, 0.000004
166,2, 3, 653667072.000000, 3.059662, 0.666667
167,3, 898770, 20276356864.000000, 0.147956, 0.000003
168,1, 372412, 10183723008.000000, 0.098196, 0.000003
169,5, 312763, 9044080896.000000, 0.552848, 0.000016
170,4, 312134, 10142956032.000000, 0.394362, 0.000013
171,1, 289146, 9821558016.000000, 0.101817, 0.000003
172,3, 2627249, 32217956096.000000, 0.093116, 0.000001
173,2, 763400, 15959937024.000000, 0.125314, 0.000003
174,1, 79907, 1922887936.000000, 0.520051, 0.000013
175,1, 1, 473603840.000000, 2.111469, 1.000000
176,1, 79908, 1922108160.000000, 0.520262, 0.000013
177,1, 297760, 7215559936.000000, 0.138589, 0.000003
178,3, 628366, 16624308224.000000, 0.180459, 0.000005
179,2, 297767, 7629786112.000000, 0.262131, 0.000007
180,2, 763400, 15943506176.000000, 0.125443, 0.000003
181,4, 578742, 15022167040.000000, 0.266273, 0.000007
182,1, 83447, 2191014144.000000, 0.456410, 0.000012
183,4, 485121, 10590531840.000000, 0.377696, 0.000008
184,2, 483626, 12030167040.000000, 0.166249, 0.000004
185,3, 314137, 10116552960.000000, 0.296544, 0.000010
